date,symbol,name,side,quantity,avg_cost,last_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight_pct,thesis,status,review_date,notes
2026-06-27,002230,未知,LONG,200,42.7184,40.37,8074.0,-469.69,-5.4975,0.834,,open,,
2026-06-27,300750,宁德时代,LONG,70,401.9154,400.15,28010.5,-123.58,-0.4392,2.8934,,open,,
2026-06-27,600036,未知,LONG,500,37.8106,36.11,18055.0,-850.31,-4.4977,1.8651,,open,,
2026-06-27,600941,中国移动,LONG,300,91.0237,86.7,26010.0,-1297.1,-4.7501,2.6868,,open,,
2026-06-27,688981,中芯国际,LONG,300,145.6897,155.55,46665.0,2958.09,6.768,4.8204,,open,,
